"","entrezgene","uniprotswissprot","ensembl_gene_id","external_gene_name","description"
"1",32017,"","FBgn0030243","CG2186",""
"2",34455,"","FBgn0032269","w-cup","world cup [Source:FlyBase;Acc:FBgn0032269]"
"3",35362,"","FBgn0266369","Mtp","Microsomal triacylglycerol transfer protein [Source:FlyBase;Acc:FBgn0266369]"
"4",40717,"","FBgn0028690","Rpn5","Regulatory particle non-ATPase 5 [Source:FlyBase;Acc:FBgn0028690]"
"5",34999,"","FBgn0032596","Prosbeta4","Proteasome beta4 subunit [Source:FlyBase;Acc:FBgn0032596]"
"6",317952,"","FBgn0052280","CG32280",""
"7",33476,"","FBgn0031463","G6P","Glucose-6-Phosphatase [Source:FlyBase;Acc:FBgn0031463]"
"8",39944,"","FBgn0052176","CG32176",""
"9",33024,"","FBgn0031098","CG17068",""
"10",36401,"","FBgn0033770","wuc","Wake-up-call [Source:FlyBase;Acc:FBgn0033770]"
"11",41395,"","FBgn0037922","CG14711",""
"12",43841,"","FBgn0025726","unc-13",""
"13",32340,"P43125","FBgn0003218","rdgB","retinal degeneration B [Source:FlyBase;Acc:FBgn0003218]"
"14",32340,"","FBgn0003218","rdgB","retinal degeneration B [Source:FlyBase;Acc:FBgn0003218]"
"15",42558,"","FBgn0259237","CG42335",""
"16",19893555,"P18933","FBgn0013685","mt:ND6","mitochondrial NADH-ubiquinone oxidoreductase chain 6 [Source:FlyBase;Acc:FBgn0013685]"
"17",43687,"P40794","FBgn0004389","bnk","bottleneck [Source:FlyBase;Acc:FBgn0004389]"
"18",32936,"","FBgn0031021","ND-18","NADH dehydrogenase (ubiquinone) 18 kDa subunit [Source:FlyBase;Acc:FBgn0031021]"
"19",41104,"","FBgn0037671","VhaM8.9","Vacuolar H[+] ATPase M8.9 accessory subunit [Source:FlyBase;Acc:FBgn0037671]"
"20",36068,"","FBgn0033491","CG18011",""
"21",8674092,"","FBgn0260233","CG42507",""
"22",36954,"Q7K4W1","FBgn0034214","CG6550",""
"23",3355102,"","FBgn0020908","Scp1","Sarcoplasmic calcium-binding protein 1 [Source:FlyBase;Acc:FBgn0020908]"
"24",318605,"","FBgn0051141","CG31141",""
"25",19835256,"","FBgn0284082","CG46304",""
"26",36912,"","FBgn0034180","Ehbp1","Eps15 homology domain containing protein-binding protein 1 [Source:FlyBase;Acc:FBgn0034180]"
"27",2768730,"","FBgn0040775","CG12158",""
"28",39549,"","FBgn0036396","CG17359",""
"29",37066,"","FBgn0284221","Sema5c","Semaphorin 5c [Source:FlyBase;Acc:FBgn0284221]"
"30",39844,"Q9VV74","FBgn0036641","Smn","survival motor neuron [Source:FlyBase;Acc:FBgn0036641]"
"31",37011,"Q9U9P7","FBgn0027872","rdgBbeta",""
"32",42579,"","FBgn0038915","CG17819",""
"33",42282,"","FBgn0027785","NP15.6",""
"34",37308,"","FBgn0034506","CG13870",""
"35",33112,"O61345","FBgn0015527","peng","penguin [Source:FlyBase;Acc:FBgn0015527]"
"36",34379,"","FBgn0032209","Hand",""
"37",59218,"","FBgn0042180","CG18870",""
"38",38218,"","FBgn0027594","drpr","draper [Source:FlyBase;Acc:FBgn0027594]"
"39",38218,"Q9W0A0","FBgn0027594","drpr","draper [Source:FlyBase;Acc:FBgn0027594]"
"40",46006,"","FBgn0261954","east","enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]"
"41",37336,"","FBgn0034534","maf-S",""
"42",37005,"A1ZAX1","FBgn0034258","eIF3c","eukaryotic translation initiation factor 3 subunit c [Source:FlyBase;Acc:FBgn0034258]"
"43",40826,"","FBgn0051481","pb","proboscipedia [Source:FlyBase;Acc:FBgn0051481]"
"44",40826,"P31264","FBgn0051481","pb","proboscipedia [Source:FlyBase;Acc:FBgn0051481]"
"45",38523,"Q9VZE7","FBgn0035523","Ctl1","Choline transporter-like 1 [Source:FlyBase;Acc:FBgn0035523]"
"46",38523,"","FBgn0035523","Ctl1","Choline transporter-like 1 [Source:FlyBase;Acc:FBgn0035523]"
"47",31715,"","FBgn0029987","CG15330",""
"48",42526,"","FBgn0038876","CG5919",""
"49",33715,"Q9VMX0","FBgn0031660","mRpL28","mitochondrial ribosomal protein L28 [Source:FlyBase;Acc:FBgn0031660]"
"50",42220,"","FBgn0038619","CG7685",""
"51",31010,"","FBgn0001341","l(1)1Bi","lethal (1) 1Bi [Source:FlyBase;Acc:FBgn0001341]"
"52",36808,"","FBgn0025519","fidipidine",""
"53",32950,"","FBgn0031032","CG14204",""
"54",40950,"","FBgn0037541","CG2747",""
"55",44936,"","FBgn0264490","Eip93F","Ecdysone-induced protein 93F [Source:FlyBase;Acc:FBgn0264490]"
"56",36992,"","FBgn0016701","Rab4",""
"57",42804,"","FBgn0039110","RanBP3","Ran binding protein 3 [Source:FlyBase;Acc:FBgn0039110]"
"58",42475,"","FBgn0038839","Ktl","Kctd12-like [Source:FlyBase;Acc:FBgn0038839]"
"59",39018,"Q9VSR3","FBgn0264307","orb2",""
"60",39018,"","FBgn0264307","orb2",""
"61",35314,"","FBgn0263355","CG31688",""
"62",34716,"","FBgn0032482","Pect","Phosphoethanolamine cytidylyltransferase [Source:FlyBase;Acc:FBgn0032482]"
"63",44382,"","FBgn0020376","Sr-CIII","Scavenger receptor class C, type III [Source:FlyBase;Acc:FBgn0020376]"
"64",246670,"Q8MKK0","FBgn0043535","Obp57a","Odorant-binding protein 57a [Source:FlyBase;Acc:FBgn0043535]"
"65",33176,"","FBgn0259818","CG42399",""
"66",246443,"","FBgn0050082","CG30082",""
"67",36319,"Q9V677","FBgn0033698","CG8858",""
"68",32964,"","FBgn0031045","CG14212",""
"69",37676,"","FBgn0034829","CG9899",""
"70",39365,"","FBgn0026432","Grip163",""
"71",31743,"","FBgn0030010","CG10959",""
"72",3772012,"","FBgn0032240","CG17768",""
"73",31642,"","FBgn0029925","CG3040",""
"74",40728,"","FBgn0037387","CG1213",""
"75",318709,"","FBgn0261679","CG42726",""
"76",42694,"","FBgn0039017","CG6985",""
"77",318882,"","FBgn0051681","CG31681",""
"78",37469,"","FBgn0259711","CG42365",""
"79",40841,"","FBgn0037465","CG1105",""
"80",318887,"","FBgn0051693","CG31693",""
"81",45399,"","FBgn0010803","TrpRS","Tryptophanyl-tRNA synthetase [Source:FlyBase;Acc:FBgn0010803]"
"82",34140,"","FBgn0032018","CG7806",""
"83",42836,"","FBgn0051140","CG31140",""
"84",40044,"","FBgn0036813","Atg3","Autophagy-related 3 [Source:FlyBase;Acc:FBgn0036813]"
"85",37986,"","FBgn0043792","CG30427",""
"86",40316,"","FBgn0037037","CG10588",""
"87",43390,"","FBgn0039593","Sid","Stress induced DNase [Source:FlyBase;Acc:FBgn0039593]"
"88",39068,"","FBgn0004379","Klp67A","Kinesin-like protein at 67A [Source:FlyBase;Acc:FBgn0004379]"
"89",39277,"","FBgn0036158","CG6149",""
"90",31638,"","FBgn0052732","CG32732",""
"91",33901,"","FBgn0031816","Rchy1","Ring finger and CHY zinc finger domain containing 1 [Source:FlyBase;Acc:FBgn0031816]"
"92",33785,"","FBgn0031719","CG18269",""
"93",40170,"O97159","FBgn0262519","Mi-2",""
"94",40170,"","FBgn0262519","Mi-2",""
"95",37792,"","FBgn0034923","Upf3",""
"96",33509,"","FBgn0031488","CG17265",""
"97",NA,"Q9VAW0","FBgn0039582","Or98b","Odorant receptor 98b [Source:FlyBase;Acc:FBgn0039582]"
"98",33928,"","FBgn0051635","CG31635",""
"99",42608,"","FBgn0263117","CG34377",""
"100",5740597,"G5CKU5","FBgn0085512","RYa","RYamide [Source:FlyBase;Acc:FBgn0085512]"
"101",35912,"","FBgn0033369","CG8197",""
"102",4379850,"","FBgn0083971","CG34135",""
"103",37292,"P41094","FBgn0010411","RpS18","Ribosomal protein S18 [Source:FlyBase;Acc:FBgn0010411]"
"104",19834721,"","FBgn0265578","CG44405",""
"105",42377,"","FBgn0038753","CG4459",""
"106",35889,"","FBgn0033348","Spt","Spitting Image [Source:FlyBase;Acc:FBgn0033348]"
"107",35239,"","FBgn0032798","CG10132",""
"108",33599,"P17972","FBgn0003386","Shaw","Shaker cognate w [Source:FlyBase;Acc:FBgn0003386]"
"109",33599,"","FBgn0003386","Shaw","Shaker cognate w [Source:FlyBase;Acc:FBgn0003386]"
"110",33972,"Q9VM64","FBgn0031872","ihog","interference hedgehog [Source:FlyBase;Acc:FBgn0031872]"
"111",32036,"","FBgn0030259","CG1545",""
"112",36039,"P06602","FBgn0000606","eve","even skipped [Source:FlyBase;Acc:FBgn0000606]"
"113",31568,"","FBgn0029858","mldr","mulder [Source:FlyBase;Acc:FBgn0029858]"
"114",39533,"","FBgn0264006","dysc","dyschronic [Source:FlyBase;Acc:FBgn0264006]"
"115",41455,"","FBgn0260745","mfas","midline fasciclin [Source:FlyBase;Acc:FBgn0260745]"
"116",34840,"","FBgn0015791","Rab14",""
"117",41013,"","FBgn0051453","pch2","pachytene checkpoint 2 [Source:FlyBase;Acc:FBgn0051453]"
"118",42821,"O77237","FBgn0025574","Pli","Pellino [Source:FlyBase;Acc:FBgn0025574]"
"119",43440,"Q9VAP3","FBgn0039637","Ctl2","Choline transporter-like 2 [Source:FlyBase;Acc:FBgn0039637]"
"120",4379834,"Q24212","FBgn0016975","stnB","stoned B [Source:FlyBase;Acc:FBgn0016975]"
"121",4379834,"","FBgn0016975","stnB","stoned B [Source:FlyBase;Acc:FBgn0016975]"
"122",43374,"","FBgn0039581","Moca-cyp",""
"123",41171,"","FBgn0037726","CG9492",""
"124",31838,"","FBgn0030086","CCT2","Chaperonin containing TCP1 subunit 2 [Source:FlyBase;Acc:FBgn0030086]"
"125",37874,"","FBgn0266083","ocm","over compensating males [Source:FlyBase;Acc:FBgn0266083]"
"126",39957,"Q9VVI2","FBgn0036735","Edc3","Enhancer of decapping 3 [Source:FlyBase;Acc:FBgn0036735]"
"127",37721,"","FBgn0034871","CG3906",""
"128",39493,"","FBgn0023095","caps","capricious [Source:FlyBase;Acc:FBgn0023095]"
"129",41139,"","FBgn0014022","Rlb1",""
"130",37207,"","FBgn0034423","tbrd-2","testis-specifically expressed bromodomain containing protein-2 [Source:FlyBase;Acc:FBgn0034423]"
"131",38060,"","FBgn0035134","CG1231",""
"132",38755,"","FBgn0035719","tow","target of wingless [Source:FlyBase;Acc:FBgn0035719]"
"133",40889,"Q01642","FBgn0004172","Mst84Da","Male-specific RNA 84Da [Source:FlyBase;Acc:FBgn0004172]"
"134",3346227,"","FBgn0261871","dpr2","defective proboscis extension response 2 [Source:FlyBase;Acc:FBgn0261871]"
"135",41995,"","FBgn0044826","Pak3",""
"136",32844,"","FBgn0030937","CG15042",""
"137",26067055,"","FBgn0267489","PRY","polycystine-related-Y [Source:FlyBase;Acc:FBgn0267489]"
"138",3772322,"","FBgn0053687","CG33687",""
"139",3772345,"P84051","FBgn0053808","His2A:CG33808",""
"140",3771783,"P84051","FBgn0053808","His2A:CG33808",""
"141",3772541,"P84051","FBgn0053808","His2A:CG33808",""
"142",3772351,"P84051","FBgn0053808","His2A:CG33808",""
"143",3772632,"P84051","FBgn0053808","His2A:CG33808",""
"144",318855,"P84051","FBgn0053808","His2A:CG33808",""
"145",3772148,"P84051","FBgn0053808","His2A:CG33808",""
"146",3772565,"P84051","FBgn0053808","His2A:CG33808",""
"147",3772278,"P84051","FBgn0053808","His2A:CG33808",""
"148",3772448,"P84051","FBgn0053808","His2A:CG33808",""
"149",3772447,"P84051","FBgn0053808","His2A:CG33808",""
"150",3772360,"P84051","FBgn0053808","His2A:CG33808",""
"151",3771774,"P84051","FBgn0053808","His2A:CG33808",""
"152",3772505,"P84051","FBgn0053808","His2A:CG33808",""
"153",3771785,"P84051","FBgn0053808","His2A:CG33808",""
"154",3772618,"P84051","FBgn0053808","His2A:CG33808",""
"155",3772282,"P84051","FBgn0053808","His2A:CG33808",""
"156",32996,"","FBgn0026175","SkpC","SKP1-related C [Source:FlyBase;Acc:FBgn0026175]"
"157",5740423,"","FBgn0085213","CG34184",""
"158",43747,"Q95SP2","FBgn0039875","sip3","septin interacting protein 3 [Source:FlyBase;Acc:FBgn0039875]"
"159",41184,"","FBgn0037736","CG12950",""
"160",35735,"","FBgn0003082","phr","photorepair [Source:FlyBase;Acc:FBgn0003082]"
"161",44021,"","FBgn0005322","nmd","no mitochondrial derivative [Source:FlyBase;Acc:FBgn0005322]"
"162",43077,"","FBgn0039335","Vps33B","Vacuolar protein sorting 33B [Source:FlyBase;Acc:FBgn0039335]"
"163",36290,"","FBgn0024732","Drep1","DNA fragmentation factor-related protein 1 [Source:FlyBase;Acc:FBgn0024732]"
"164",3772390,"","FBgn0053700","CG33700",""
"165",32701,"","FBgn0260747","Chchd2","Coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:FlyBase;Acc:FBgn0260747]"
"166",39746,"P54358","FBgn0263600","DNApol-delta","DNA-polymerase-delta [Source:FlyBase;Acc:FBgn0263600]"
"167",43325,"","FBgn0039537","CG5590",""
"168",41493,"","FBgn0038011","CG4066",""
"169",38531,"","FBgn0066365","dyl","dusky-like [Source:FlyBase;Acc:FBgn0066365]"
"170",43730,"","FBgn0039863","CG1815",""
"171",48335,"Q9VG98","FBgn0010038","GstD2","Glutathione S transferase D2 [Source:FlyBase;Acc:FBgn0010038]"
"172",35143,"","FBgn0051752","CG31752",""
"173",41164,"","FBgn0037721","CG9427",""
"174",35568,"","FBgn0033086","CG9410",""
"175",35568,"Q8MLL3","FBgn0033086","CG9410",""
"176",12798569,"","FBgn0262999","CG43307",""
"177",39623,"","FBgn0036459","CG3349",""
"178",246644,"","FBgn0050485","CG30485",""
"179",41821,"","FBgn0038291","CG3984",""
"180",43531,"","FBgn0039712","CG15514",""
"181",3354888,"P40417","FBgn0003256","rl","rolled [Source:FlyBase;Acc:FBgn0003256]"
"182",3354888,"","FBgn0003256","rl","rolled [Source:FlyBase;Acc:FBgn0003256]"
"183",42852,"O97125","FBgn0001230","Hsp68","Heat shock protein 68 [Source:FlyBase;Acc:FBgn0001230]"
"184",34193,"P33438","FBgn0001114","Glt","Glutactin [Source:FlyBase;Acc:FBgn0001114]"
"185",12797917,"","FBgn0262894","CG43249",""
"186",35154,"","FBgn0015772","Nak","Numb-associated kinase [Source:FlyBase;Acc:FBgn0015772]"
"187",32765,"","FBgn0030873","CG15814",""
"188",35432,"","FBgn0032966","CG1421",""
"189",32245,"","FBgn0086675","fne","found in neurons [Source:FlyBase;Acc:FBgn0086675]"
"190",41744,"","FBgn0038223","Afti","Aftiphilin [Source:FlyBase;Acc:FBgn0038223]"
"191",39834,"","FBgn0053158","CG33158",""
"192",33682,"","FBgn0031633","Fnta","Farnesyl transferase alpha [Source:FlyBase;Acc:FBgn0031633]"
"193",45784,"","FBgn0027081","ThrRS","Threonyl-tRNA synthetase [Source:FlyBase;Acc:FBgn0027081]"
"194",31131,"","FBgn0029589","CG14810",""
"195",192509,"","FBgn0043458","CG12084",""
"196",192509,"Q9W0E8","FBgn0043458","CG12084",""
"197",10178934,"","FBgn0262010","CG42828",""
"198",43538,"","FBgn0039719","CG15515",""
"199",NA,"Q9VZE6","FBgn0035524","CG11583",""
"200",8674051,"","FBgn0259963","Sfp33A2","Seminal fluid protein 33A2 [Source:FlyBase;Acc:FBgn0259963]"
"201",36363,"Q24372","FBgn0010238","Lac","Lachesin [Source:FlyBase;Acc:FBgn0010238]"
"202",36918,"","FBgn0034184","CG9646",""
"203",44793,"","FBgn0000018","abo","abnormal oocyte [Source:FlyBase;Acc:FBgn0000018]"
"204",3772600,"","FBgn0053725","CG33725",""
"205",NA,"","FBgn0284081","CG46303",""
"206",31498,"","FBgn0029799","CG15772",""
"207",35251,"","FBgn0032809","CG13078",""
"208",39697,"","FBgn0036522","CG7372",""
"209",32437,"","FBgn0030608","Lsd-2","Lipid storage droplet-2 [Source:FlyBase;Acc:FBgn0030608]"
"210",32437,"Q9VXY7","FBgn0030608","Lsd-2","Lipid storage droplet-2 [Source:FlyBase;Acc:FBgn0030608]"
"211",38133,"","FBgn0035192","CG9194",""
"212",35079,"","FBgn0051741","CG31741",""
"213",39801,"","FBgn0036605","CG13041",""
"214",NA,"","FBgn0000055","Adh","Alcohol dehydrogenase [Source:FlyBase;Acc:FBgn0000055]"
"215",NA,"P00334","FBgn0000055","Adh","Alcohol dehydrogenase [Source:FlyBase;Acc:FBgn0000055]"
"216",36263,"","FBgn0033657","Sln","Silnoon [Source:FlyBase;Acc:FBgn0033657]"
"217",38174,"Q95RU0","FBgn0011204","cue","cueball [Source:FlyBase;Acc:FBgn0011204]"
"218",38396,"Q9VZS6","FBgn0035421","CG12034",""
"219",33883,"Q27597","FBgn0015623","Cpr","Cytochrome P450 reductase [Source:FlyBase;Acc:FBgn0015623]"
"220",33883,"","FBgn0015623","Cpr","Cytochrome P450 reductase [Source:FlyBase;Acc:FBgn0015623]"
"221",31293,"P07207","FBgn0004647","N","Notch [Source:FlyBase;Acc:FBgn0004647]"
"222",32502,"","FBgn0030666","CG12708",""
"223",35929,"","FBgn0027561","CG18659",""
"224",35340,"P48608","FBgn0011202","dia","diaphanous [Source:FlyBase;Acc:FBgn0011202]"
"225",35340,"","FBgn0011202","dia","diaphanous [Source:FlyBase;Acc:FBgn0011202]"
"226",40862,"Q9VI74","FBgn0037482","CG10055",""
"227",40693,"","FBgn0027951","MTA1-like","Metastasis associated 1-like [Source:FlyBase;Acc:FBgn0027951]"
"228",246449,"","FBgn0050091","CG30091",""
"229",35780,"","FBgn0033260","Cul4","Cullin 4 [Source:FlyBase;Acc:FBgn0033260]"
"230",246618,"","FBgn0050443","Opbp","Optix-binding protein [Source:FlyBase;Acc:FBgn0050443]"
"231",48445,"","FBgn0000032","Acph-1","Acid phosphatase 1 [Source:FlyBase;Acc:FBgn0000032]"
"232",33524,"","FBgn0283427","FASN1","Fatty acid synthase 1 [Source:FlyBase;Acc:FBgn0283427]"
"233",36364,"Q7K4B4","FBgn0033740","dgt5","dim gamma-tubulin 5 [Source:FlyBase;Acc:FBgn0033740]"
"234",42880,"","FBgn0011725","twin",""
"235",31722,"","FBgn0004656","fs(1)h","female sterile (1) homeotic [Source:FlyBase;Acc:FBgn0004656]"
