"","entrezgene","uniprot_gn","ensembl_gene_id","external_gene_name","description"
"1",NA,"","ENSPTRG00000042638","",""
"2",NA,"","ENSPTRG00000042646","",""
"3",NA,"","ENSPTRG00000042654","",""
"4",NA,"","ENSPTRG00000042645","",""
"5",NA,"","ENSPTRG00000042644","",""
"6",NA,"Q9T9W3","ENSPTRG00000042641","MT-ND1","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:VGNC Symbol;Acc:VGNC:11717]"
"7",NA,"","ENSPTRG00000042627","",""
"8",NA,"","ENSPTRG00000042647","",""
"9",NA,"","ENSPTRG00000042652","",""
"10",807865,"","ENSPTRG00000042626","MT-ND2","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:VGNC Symbol;Acc:VGNC:11719]"
"11",NA,"","ENSPTRG00000042656","",""
"12",NA,"","ENSPTRG00000042642","MT-TA","mitochondrially encoded tRNA alanine [Source:HGNC Symbol;Acc:HGNC:7475]"
"13",NA,"","ENSPTRG00000042648","",""
"14",NA,"","ENSPTRG00000042629","",""
"15",NA,"","ENSPTRG00000042655","",""
"16",807866,"Q9T9W1","ENSPTRG00000042657","MT-CO1","mitochondrially encoded cytochrome c oxidase I [Source:VGNC Symbol;Acc:VGNC:11714]"
"17",NA,"","ENSPTRG00000042634","",""
"18",NA,"","ENSPTRG00000042636","",""
"19",807864,"P50690","ENSPTRG00000042660","MT-CO2","mitochondrially encoded cytochrome c oxidase II [Source:VGNC Symbol;Acc:VGNC:11715]"
"20",NA,"","ENSPTRG00000042633","",""
"21",807862,"Q35647","ENSPTRG00000042653","MT-ATP8","mitochondrially encoded ATP synthase membrane subunit 8 [Source:VGNC Symbol;Acc:VGNC:11713]"
"22",807859,"Q9T9W0","ENSPTRG00000042650","MT-ATP6","mitochondrially encoded ATP synthase membrane subunit 6 [Source:VGNC Symbol;Acc:VGNC:11712]"
"23",807869,"Q9T9V9","ENSPTRG00000042661","MT-CO3","mitochondrially encoded cytochrome c oxidase III [Source:VGNC Symbol;Acc:VGNC:11716]"
"24",NA,"","ENSPTRG00000042643","",""
"25",807870,"Q9T9V8","ENSPTRG00000042628","MT-ND3","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:VGNC Symbol;Acc:VGNC:11720]"
"26",NA,"","ENSPTRG00000042659","",""
"27",807868,"B0LFN9","ENSPTRG00000042631","MT-ND4L","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:VGNC Symbol;Acc:VGNC:11722]"
"28",807868,"Q37809","ENSPTRG00000042631","MT-ND4L","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:VGNC Symbol;Acc:VGNC:11722]"
"29",807863,"P03906","ENSPTRG00000042639","MT-ND4","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:VGNC Symbol;Acc:VGNC:11721]"
"30",NA,"","ENSPTRG00000042635","",""
"31",NA,"","ENSPTRG00000042649","",""
"32",NA,"","ENSPTRG00000042632","",""
"33",807860,"Q35648","ENSPTRG00000042651","MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:VGNC Symbol;Acc:VGNC:11723]"
"34",807861,"Q9T9V6","ENSPTRG00000042630","MT-ND6","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:VGNC Symbol;Acc:VGNC:11724]"
"35",NA,"","ENSPTRG00000042625","MT-TE","mitochondrially encoded tRNA glutamic acid [Source:HGNC Symbol;Acc:HGNC:7479]"
"36",807858,"Q9T9V5","ENSPTRG00000042637","MT-CYB","mitochondrially encoded cytochrome b [Source:VGNC Symbol;Acc:VGNC:11718]"
"37",NA,"","ENSPTRG00000042658","",""
"38",NA,"","ENSPTRG00000042640","",""
"39",107966431,"","ENSPTRG00000047976","",""
"40",458353,"","ENSPTRG00000013652","FAM209A","family with sequence similarity 209 member A [Source:VGNC Symbol;Acc:VGNC:14130]"
"41",464297,"K7DH55","ENSPTRG00000020443","SDC2","syndecan 2 [Source:VGNC Symbol;Acc:VGNC:801]"
"42",NA,"","ENSPTRG00000044534","",""
"43",464231,"","ENSPTRG00000045991","C8orf89","chromosome 8 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:51258]"
"44",747164,"","ENSPTRG00000004551","FGF23","fibroblast growth factor 23 [Source:VGNC Symbol;Acc:VGNC:5380]"
"45",NA,"","ENSPTRG00000050844","",""
"46",NA,"","ENSPTRG00000049297","",""
"47",100616515,"","ENSPTRG00000002780","CYP2C9","cytochrome P450 family 2 subfamily C member 9 [Source:VGNC Symbol;Acc:VGNC:6151]"
"48",746580,"K7DQF9","ENSPTRG00000006251","SPTSSA","serine palmitoyltransferase small subunit A [Source:VGNC Symbol;Acc:VGNC:12543]"
"49",461745,"H2R2W4","ENSPTRG00000017084","ARSK","arylsulfatase family member K [Source:VGNC Symbol;Acc:VGNC:11830]"
"50",NA,"","ENSPTRG00000043514","",""
"51",737149,"","ENSPTRG00000023303","ZNF789","zinc finger protein 789 [Source:VGNC Symbol;Acc:VGNC:4585]"
"52",471690,"","ENSPTRG00000017391","ADRB2","adrenoceptor beta 2 [Source:VGNC Symbol;Acc:VGNC:3896]"
"53",NA,"","ENSPTRG00000047027","",""
"54",NA,"","ENSPTRG00000042775","",""
"55",467988,"","ENSPTRG00000008173","MMP15","matrix metallopeptidase 15 [Source:VGNC Symbol;Acc:VGNC:5838]"
"56",NA,"","ENSPTRG00000040239","",""
"57",NA,"","ENSPTRG00000049109","",""
"58",470651,"","ENSPTRG00000012937","CFAP65","cilia and flagella associated protein 65 [Source:VGNC Symbol;Acc:VGNC:132]"
"59",NA,"","ENSPTRG00000046839","",""
"60",NA,"","ENSPTRG00000048397","",""
"61",100614410,"","ENSPTRG00000040083","",""
"62",100614631,"","ENSPTRG00000010515","ZNF700","zinc finger protein 700 [Source:VGNC Symbol;Acc:VGNC:11489]"
"63",463312,"K7B2D1","ENSPTRG00000019020","HOXA11","homeobox A11 [Source:VGNC Symbol;Acc:VGNC:4390]"
"64",NA,"","ENSPTRG00000052463","",""
"65",736417,"K7CAG5","ENSPTRG00000002298","OPTN","optineurin [Source:VGNC Symbol;Acc:VGNC:4972]"
"66",NA,"","ENSPTRG00000035209","",""
"67",467944,"","ENSPTRG00000007985","TBX6","T-box 6 [Source:VGNC Symbol;Acc:VGNC:5930]"
"68",468487,"","ENSPTRG00000009828","METTL4","methyltransferase like 4 [Source:VGNC Symbol;Acc:VGNC:5184]"
"69",455396,"H2R3Q4","ENSPTRG00000009989","EPG5","ectopic P-granules autophagy protein 5 homolog [Source:VGNC Symbol;Acc:VGNC:5166]"
"70",NA,"","ENSPTRG00000052620","",""
"71",NA,"","ENSPTRG00000026914","RF00001","RNA, 5S ribosomal pseudogene 191 [Source:HGNC Symbol;Acc:HGNC:43091]"
"72",NA,"","ENSPTRG00000042737","",""
"73",450362,"K6Z8K5","ENSPTRG00000002374","PDSS1","decaprenyl diphosphate synthase subunit 1 [Source:VGNC Symbol;Acc:VGNC:14564]"
"74",NA,"","ENSPTRG00000052035","RF02206",""
"75",454452,"","ENSPTRG00000008604","ZMYND15","zinc finger MYND-type containing 15 [Source:VGNC Symbol;Acc:VGNC:9801]"
"76",NA,"","ENSPTRG00000048304","",""
"77",NA,"","ENSPTRG00000035679","RF00100","RNA, 7SK small nuclear pseudogene 154 [Source:HGNC Symbol;Acc:HGNC:45878]"
"78",NA,"","ENSPTRG00000013170","",""
"79",NA,"","ENSPTRG00000037971","RF00066",""
"80",NA,"","ENSPTRG00000045998","",""
"81",NA,"","ENSPTRG00000044249","RF00619",""
"82",NA,"","ENSPTRG00000045856","",""
"83",468665,"K7ANJ1","ENSPTRG00000010264","FZR1","fizzy and cell division cycle 20 related 1 [Source:VGNC Symbol;Acc:VGNC:14744]"
"84",NA,"","ENSPTRG00000027894","ptr-mir-601","ptr-mir-601 [Source:miRBase;Acc:MI0008807]"
"85",107972597,"","ENSPTRG00000045184","",""
"86",463071,"","ENSPTRG00000018709","PLEKHG1","pleckstrin homology and RhoGEF domain containing G1 [Source:VGNC Symbol;Acc:VGNC:3624]"
"87",NA,"","ENSPTRG00000040303","RF00017","RNA, 7SL, cytoplasmic 69, pseudogene [Source:HGNC Symbol;Acc:HGNC:46085]"
"88",474016,"","ENSPTRG00000013942","TMPRSS3","transmembrane serine protease 3 [Source:VGNC Symbol;Acc:VGNC:3730]"
"89",455091,"K7CHH7","ENSPTRG00000008744","NDEL1","nudE neurodevelopment protein 1 like 1 [Source:VGNC Symbol;Acc:VGNC:9471]"
"90",455091,"K7AZ98","ENSPTRG00000008744","NDEL1","nudE neurodevelopment protein 1 like 1 [Source:VGNC Symbol;Acc:VGNC:9471]"
"91",456895,"","ENSPTRG00000000799","HOOK1","hook microtubule tethering protein 1 [Source:VGNC Symbol;Acc:VGNC:8050]"
"92",473296,"","ENSPTRG00000005568","HPD","4-hydroxyphenylpyruvate dioxygenase [Source:VGNC Symbol;Acc:VGNC:5422]"
"93",741988,"","ENSPTRG00000008871","SLC47A1","solute carrier family 47 member 1 [Source:VGNC Symbol;Acc:VGNC:12674]"
"94",NA,"","ENSPTRG00000052875","",""
"95",NA,"","ENSPTRG00000045085","",""
"96",NA,"","ENSPTRG00000052256","RF02042",""
"97",NA,"","ENSPTRG00000045014","RF00017",""
"98",NA,"","ENSPTRG00000037983","RF00066",""
"99",NA,"","ENSPTRG00000045906","RF00001",""
"100",NA,"","ENSPTRG00000034800","RF00619","RNA, U6atac small nuclear 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:46918]"
"101",NA,"","ENSPTRG00000025245","RF00100","RNA, 7SK small nuclear pseudogene 118 [Source:HGNC Symbol;Acc:HGNC:45842]"
"102",NA,"","ENSPTRG00000043178","MIR4276","microRNA 4276 [Source:HGNC Symbol;Acc:HGNC:38232]"
"103",464412,"K7DPR0","ENSPTRG00000020607","ZFAT","zinc finger and AT-hook domain containing [Source:VGNC Symbol;Acc:VGNC:768]"
"104",NA,"","ENSPTRG00000043221","",""
"105",737087,"","ENSPTRG00000045889","HIST1H2AJ","histone cluster 1 H2A family member j [Source:HGNC Symbol;Acc:HGNC:4727]"
"106",451935,"H2Q616","ENSPTRG00000005007","RARG","retinoic acid receptor gamma [Source:VGNC Symbol;Acc:VGNC:8514]"
"107",451935,"K7CVN2","ENSPTRG00000005007","RARG","retinoic acid receptor gamma [Source:VGNC Symbol;Acc:VGNC:8514]"
"108",NA,"","ENSPTRG00000043747","RF02042",""
"109",NA,"","ENSPTRG00000043302","",""
"110",NA,"","ENSPTRG00000040722","RF00017","RNA, 7SL, cytoplasmic 228, pseudogene [Source:HGNC Symbol;Acc:HGNC:46244]"
"111",NA,"","ENSPTRG00000034889","RF00619",""
"112",NA,"","ENSPTRG00000043816","RF00066","RNA, U7 small nuclear 79 pseudogene [Source:HGNC Symbol;Acc:HGNC:34175]"
"113",NA,"","ENSPTRG00000039720","",""
"114",NA,"","ENSPTRG00000038599","RF00100","RNA, 7SK small nuclear pseudogene 219 [Source:HGNC Symbol;Acc:HGNC:45943]"
"115",NA,"","ENSPTRG00000036793","RF00001","RNA, 5S ribosomal pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:42843]"
"116",NA,"","ENSPTRG00000047043","",""
"117",NA,"","ENSPTRG00000046618","",""
"118",NA,"","ENSPTRG00000036066","RF00191",""
"119",NA,"","ENSPTRG00000041358","RF00017","RNA, 7SL, cytoplasmic 145, pseudogene [Source:HGNC Symbol;Acc:HGNC:46161]"
"120",NA,"","ENSPTRG00000050836","",""
