"","entrezgene","uniprot_gn","ensembl_gene_id","external_gene_name","description"
"1",101074015,"","ENSTRUG00000000001","neurod6b (1 of many)","neuronal differentiation 6b [Source:ZFIN;Acc:ZDB-GENE-010608-2]"
"2",101061694,"","ENSTRUG00000000002","tubb2b","tubulin, beta 2b [Source:ZFIN;Acc:ZDB-GENE-030131-722]"
"3",NA,"","ENSTRUG00000000003","",""
"4",NA,"","ENSTRUG00000000004","gdf6b","growth differentiation factor 6b [Source:ZFIN;Acc:ZDB-GENE-980526-442]"
"5",NA,"","ENSTRUG00000000005","",""
"6",101070565,"","ENSTRUG00000000006","",""
"7",101071636,"","ENSTRUG00000000007","pou4f1","POU class 4 homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-000523-2]"
"8",NA,"","ENSTRUG00000000008","",""
"9",NA,"","ENSTRUG00000000009","micu2","mitochondrial calcium uptake 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3374]"
"10",NA,"","ENSTRUG00000000010","",""
"11",NA,"","ENSTRUG00000000011","",""
"12",NA,"","ENSTRUG00000000012","",""
"13",NA,"","ENSTRUG00000000013","SSTR3","somatostatin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11332]"
"14",NA,"","ENSTRUG00000000014","irf2bp1","interferon regulatory factor 2 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-050420-389]"
"15",101069794,"","ENSTRUG00000000015","",""
"16",NA,"","ENSTRUG00000000016","si:zfos-169g10.3","si:zfos-169g10.3 [Source:ZFIN;Acc:ZDB-GENE-120215-190]"
"17",NA,"","ENSTRUG00000000017","",""
"18",NA,"","ENSTRUG00000000018","ift27","intraflagellar transport 27 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-041212-9]"
"19",101070250,"","ENSTRUG00000000019","usp25","ubiquitin specific peptidase 25 [Source:ZFIN;Acc:ZDB-GENE-040426-2847]"
"20",NA,"","ENSTRUG00000000020","tab1","TGF-beta activated kinase 1/MAP3K7 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-060628-1]"
"21",NA,"","ENSTRUG00000000021","",""
"22",101063707,"","ENSTRUG00000000022","mvp","major vault protein [Source:ZFIN;Acc:ZDB-GENE-030826-33]"
"23",NA,"","ENSTRUG00000000023","",""
"24",101066691,"","ENSTRUG00000000024","",""
"25",NA,"","ENSTRUG00000000025","EPHA8","EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]"
"26",NA,"","ENSTRUG00000000026","atf7ip","activating transcription factor 7 interacting protein [Source:ZFIN;Acc:ZDB-GENE-061103-178]"
"27",NA,"","ENSTRUG00000000027","",""
"28",NA,"","ENSTRUG00000000028","sept3","septin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-375]"
