"","entrezgene","uniprot_gn","ensembl_gene_id","external_gene_name","description"
"1",NA,"","ENSRNOG00000031780","AY172581.13",""
"2",NA,"","ENSRNOG00000030478","AY172581.9",""
"3",NA,"","ENSRNOG00000029171","AY172581.3",""
"4",NA,"","ENSRNOG00000043866","AY172581.24",""
"5",NA,"","ENSRNOG00000032112","AY172581.14",""
"6",26193,"Q8HID1","ENSRNOG00000030644","Mt-nd1","mitochondrially encoded NADH dehydrogenase 1 [Source:RGD Symbol;Acc:620555]"
"7",26193,"P03889","ENSRNOG00000030644","Mt-nd1","mitochondrially encoded NADH dehydrogenase 1 [Source:RGD Symbol;Acc:620555]"
"8",NA,"","ENSRNOG00000029301","AY172581.4",""
"9",NA,"","ENSRNOG00000033545","AY172581.21",""
"10",NA,"","ENSRNOG00000032274","AY172581.15",""
"11",26194,"Q8HID0","ENSRNOG00000031033","Mt-nd2","mitochondrially encoded NADH dehydrogenase 2 [Source:RGD Symbol;Acc:620556]"
"12",26194,"P11662","ENSRNOG00000031033","Mt-nd2","mitochondrially encoded NADH dehydrogenase 2 [Source:RGD Symbol;Acc:620556]"
"13",NA,"","ENSRNOG00000029677","AY172581.6",""
"14",NA,"","ENSRNOG00000033932","AY172581.22",""
"15",NA,"","ENSRNOG00000032609","AY172581.18",""
"16",NA,"","ENSRNOG00000031333","AY172581.10",""
"17",NA,"","ENSRNOG00000029954","AY172581.7",""
"18",26195,"Q8HIC9","ENSRNOG00000034234","Mt-co1","mitochondrially encoded cytochrome c oxidase 1 [Source:RGD Symbol;Acc:621871]"
"19",26195,"P05503","ENSRNOG00000034234","Mt-co1","mitochondrially encoded cytochrome c oxidase 1 [Source:RGD Symbol;Acc:621871]"
"20",NA,"","ENSRNOG00000032882","AY172581.19",""
"21",NA,"","ENSRNOG00000031685","AY172581.12",""
"22",26198,"Q8SEZ5","ENSRNOG00000030371","Mt-co2","mitochondrially encoded cytochrome c oxidase II [Source:RGD Symbol;Acc:621872]"
"23",26198,"P00406","ENSRNOG00000030371","Mt-co2","mitochondrially encoded cytochrome c oxidase II [Source:RGD Symbol;Acc:621872]"
"24",NA,"","ENSRNOG00000029070","AY172581.1",""
"25",26196,"Q8HIC8","ENSRNOG00000033299","Mt-atp8","mitochondrially encoded ATP synthase 8 [Source:RGD Symbol;Acc:621240]"
"26",26196,"P11608","ENSRNOG00000033299","Mt-atp8","mitochondrially encoded ATP synthase 8 [Source:RGD Symbol;Acc:621240]"
"27",26197,"Q8HIC7","ENSRNOG00000031979","Mt-atp6","mitochondrially encoded ATP synthase 6 [Source:RGD Symbol;Acc:621239]"
"28",26197,"P05504","ENSRNOG00000031979","Mt-atp6","mitochondrially encoded ATP synthase 6 [Source:RGD Symbol;Acc:621239]"
"29",26204,"Q7H115","ENSRNOG00000030700","Mt-co3","mitochondrially encoded cytochrome c oxidase III [Source:RGD Symbol;Acc:621873]"
"30",26204,"P05505","ENSRNOG00000030700","Mt-co3","mitochondrially encoded cytochrome c oxidase III [Source:RGD Symbol;Acc:621873]"
"31",NA,"","ENSRNOG00000029389","AY172581.5",""
"32",26199,"Q8SEZ1","ENSRNOG00000033615","Mt-nd3","mitochondrially encoded NADH dehydrogenase 3 [Source:RGD Symbol;Acc:620557]"
"33",26199,"P05506","ENSRNOG00000033615","Mt-nd3","mitochondrially encoded NADH dehydrogenase 3 [Source:RGD Symbol;Acc:620557]"
"34",NA,"","ENSRNOG00000032320","AY172581.16",""
"35",26200,"Q7H113","ENSRNOG00000031053","Mt-nd4l","mitochondrially encoded NADH 4L dehydrogenase [Source:RGD Symbol;Acc:620494]"
"36",26200,"P05507","ENSRNOG00000031053","Mt-nd4l","mitochondrially encoded NADH 4L dehydrogenase [Source:RGD Symbol;Acc:620494]"
"37",26201,"Q8HIC6","ENSRNOG00000029707","Mt-nd4","mitochondrially encoded NADH dehydrogenase 4 [Source:RGD Symbol;Acc:620559]"
"38",26201,"P05508","ENSRNOG00000029707","Mt-nd4","mitochondrially encoded NADH dehydrogenase 4 [Source:RGD Symbol;Acc:620559]"
"39",NA,"","ENSRNOG00000033957","AY172581.23",""
"40",NA,"","ENSRNOG00000032578","AY172581.17",""
"41",NA,"","ENSRNOG00000031667","AY172581.11",""
"42",26202,"Q8SEZ0","ENSRNOG00000029971","Mt-nd5","mitochondrially encoded NADH dehydrogenase 5 [Source:RGD Symbol;Acc:620560]"
"43",26202,"P11661","ENSRNOG00000029971","Mt-nd5","mitochondrially encoded NADH dehydrogenase 5 [Source:RGD Symbol;Acc:620560]"
"44",26203,"Q8HIC5","ENSRNOG00000029042","Mt-nd6","mitochondrially encoded NADH dehydrogenase 6 [Source:RGD Symbol;Acc:620561]"
"45",26203,"P03926","ENSRNOG00000029042","Mt-nd6","mitochondrially encoded NADH dehydrogenase 6 [Source:RGD Symbol;Acc:620561]"
"46",NA,"","ENSRNOG00000032997","AY172581.20",""
"47",26192,"Q8HIC4","ENSRNOG00000031766","Mt-cyb","mitochondrially encoded cytochrome b [Source:RGD Symbol;Acc:620081]"
"48",26192,"P00159","ENSRNOG00000031766","Mt-cyb","mitochondrially encoded cytochrome b [Source:RGD Symbol;Acc:620081]"
"49",NA,"","ENSRNOG00000030339","AY172581.8",""
"50",NA,"","ENSRNOG00000029145","AY172581.2",""
"51",NA,"","ENSRNOG00000062274","AABR07051205.1",""
"52",296587,"D3ZWJ1","ENSRNOG00000018791","Dnlz","DNL-type zinc finger [Source:RGD Symbol;Acc:1308635]"
"53",296587,"A0A096MJI2","ENSRNOG00000018791","Dnlz","DNL-type zinc finger [Source:RGD Symbol;Acc:1308635]"
"54",NA,"","ENSRNOG00000057228","Ccdc92b","coiled-coil domain containing 92B [Source:RGD Symbol;Acc:1562276]"
"55",NA,"","ENSRNOG00000053425","AABR07060101.1",""
"56",363872,"D4A6L5","ENSRNOG00000042213","Zscan25","zinc finger and SCAN domain containing 25 [Source:RGD Symbol;Acc:1308619]"
"57",306322,"Q5M825","ENSRNOG00000018876","Sdccag3","serologically defined colon cancer antigen 3 [Source:RGD Symbol;Acc:1305930]"
"58",294286,"Q5XI63","ENSRNOG00000000479","Kifc1","kinesin family member C1 [Source:RGD Symbol;Acc:1359118]"
"59",501157,"Q3MIF0","ENSRNOG00000038085","Rpe","ribulose-5-phosphate-3-epimerase [Source:RGD Symbol;Acc:1564890]"
"60",501157,"A0A0G2JW38","ENSRNOG00000038085","Rpe","ribulose-5-phosphate-3-epimerase [Source:RGD Symbol;Acc:1564890]"
"61",NA,"Q810C2","ENSRNOG00000056767","AC136588.3",""
"62",NA,"","ENSRNOG00000062223","AABR07030499.1",""
"63",360638,"D4A6U1","ENSRNOG00000002753","Adam11","ADAM metallopeptidase domain 11 [Source:RGD Symbol;Acc:1307515]"
"64",688802,"","ENSRNOG00000039588","Mcidas","multiciliate differentiation and DNA synthesis associated cell cycle protein [Source:RGD Symbol;Acc:1584164]"
"65",316153,"","ENSRNOG00000042111","Sult1c2a","sulfotransferase family, cytosolic, 1C, member 2a [Source:RGD Symbol;Acc:1305885]"
"66",691984,"A0A096MJY1","ENSRNOG00000046660","Gpc6","glypican 6 [Source:RGD Symbol;Acc:1593308]"
"67",100910057,"","ENSRNOG00000047369","LOC100910057","sulfotransferase 1C2-like [Source:RGD Symbol;Acc:6500449]"
"68",NA,"","ENSRNOG00000054910","AC096317.2",""
"69",NA,"B5DFF1","ENSRNOG00000037421","Zfp951","zinc finger protein 951 [Source:RGD Symbol;Acc:2301011]"
"70",363268,"D3Z9E4","ENSRNOG00000017053","Fbxo36","F-box protein 36 [Source:RGD Symbol;Acc:1307870]"
